star, RAhr, RAmin, Decdeg, Decmin
EtaPiscium, 1, 31, 15, 21
oPiscium, 1, 45, 9, 9
alfaPiscium, 2, 2, 2, 46
nuPiscium, 1, 41, 5, 29
EtaPiscium, 1, 3, 7, 53
DeltaPiscium, 0, 49, 7, 35
OmegaPiscium, 23, 59, 6, 52
IotaPiscium, 23, 40, 5, 38
TetaPiscium, 23, 28, 6, 23
GamaPiscium, 23, 17, 3,13
KapaPiscium, 23, 27, 1, 15
LambdaPiscium, 23, 42, 1, 47 
EpsilonAquarii, 20, 48, -9, -30
BetaAquarii, 21, 32, -5, -34
AlfaAquarii, 22, 6, 0, -19
GamaAquarii, 22, 22, -1, -23
LambdaAquarii, 22, 53, -7, -35
DeltaAquarii, 22, 55, -15, -49
Psi3Aquarii, 23, 19, -9, -37
PhiAquarii, 23, 14, -6, -3
EtaAquarii, 22, 35, 0, -7
Zeta1Aquarii, 22, 29, 0, -1
iotaCeti, 0, 19, -8, -49
betaCeti, 0, 44, -17, -59
tauCeti, 1, 44, -15, -56
zetaCeti, 1, 51, -10, -20
tetaCeti, 1, 24, -8, -11
etaCeti, 1, 9, -10, -11
deltaCeti, 2, 39, 0, 20
gamaCeti, 2, 43, 3, 14
alfaCeti, 3, 2, 4, 5
lambdaCeti, 3, 0, 8, 54
muCeti, 2, 45, 10, 7
epsilonPegasi, 21, 44, 9, 53
tetaPegasi, 22, 10, 6, 12
zetaPegasi, 22, 41, 10, 50
alfaPegasi, 23, 5, 15, 12
gamaPegasi, 0, 13, 15, 11
betaPegasi, 23, 4, 28, 5
etaPegasi, 22, 43, 30, 13
alfaAndromedae, 0, 8, 29, 5
deltaAndromedae, 0, 39, 30, 52
betaAndromedae, 1, 10, 35, 37
muAndromedae, 0, 57, 38, 30
gama1Andromedade, 2, 4, 42, 20
omicronTauri, 3, 25, 9, 2
csiTauri, 3, 27, 9, 44
lambdaTauri, 4, 1, 12, 29
gamaTauri, 4, 20, 15, 38
teta1Tauri, 4, 29, 15, 58
alfaTauri, 4, 36, 16, 31
zetaTauri, 5, 38, 21, 9
epsilonTauri, 4, 29,19, 11
betaTauri, 5, 26, 28, 36
27Tauri, 3, 49, 24,3
20Tauri, 3, 46, 24, 22
19Tauri, 3, 45, 24, 28
tetaAurigae, 6, 0, 37, 13
betaAurigae, 6, 0, 44, 57
alfaAurigae, 5, 17, 46, 0
epsilonAurigae, 5, 2, 43, 49
iotaAurigae, 4, 57, 33, 10
etaGeminorum, 6, 15, 22, 30
muGeminorum, 6, 23, 22, 31
epsilonGeminorum, 6, 44, 25, 8
nuGeminorum, 6, 29, 20, 13
tetaGeminorum, 6, 53, 33, 58
tauGeminorum, 7, 11, 30, 15
alfaGeminorum, 7, 35, 31, 53
iotaGeminorum, 7, 26, 27, 48
yGeminorum, 7, 36, 26, 54
betaGeminorum, 7, 45, 28, 2
kapaGeminorum, 7, 44, 24,24
deltaGeminorum, 7, 20, 21, 59
zetaGeminorum, 7, 4, 20, 34
csiGeminorum, 6, 45, 12, 54
gamaGeminorum, 6, 38, 16, 24
betaOrionis, 5, 15, -8, -12
kapaOrionis, 5, 48, -9, -40
zetaOrionis, 5, 41, -1, -57
epsilonOrionis, 5, 36, -1, -12
deltaOrionis, 5, 32, 0, -18
gamaOrionis, 5, 25, 6, 21
phi1Orionis, 5,35, 9, 29
alfaOrionis, 5, 55, 7, 24
